Neo+ Kuta Legian by ASTON,Bali,388.410,8.9,https://origin.pegipegi.com/jalan/images/pictS/Y0/Y939690/X939690047.jpg,"117 kamar funky, bergaya dan kamar tanpa asap rokok dengan pilihan tempat tidur double atau twin. Kamar dengan pemandaan di luar jendela yang bagus, TV satelit layar datar canggih, individu AC, bar mini, Brankas, dan kamar mandi dengan shower berdiri membuat Anda merasa experince menakjubkan ketika Anda tinggal di Neo Kuta Legian"
Permata Kuta Hotel,Bali,255.200,8.7,https://origin.pegipegi.com/jalan/images/pictS/Y0/Y964030/X964030033.jpg,"Sebagai konsep bintang 3 yang imaginatif, Permata Kuta Hotel menciptakan gaya bisnis minimalis berwarna mencolok dan bersuasana resort. Layanan standard Award Winning kami akan memanjakan Anda. Menjadi Retro hotel Bali terbaru, Hotel ini difituri dengan 120 kamar dan Suite, Hula's Cafe dan bar tepi kolam, 3 ruang rapat"
Quest San Denpasar by ASTON,Bali,284.528,8.6,https://origin.pegipegi.com/jalan/images/pictS/Y1/Y909371/X909371001.jpg,"Quest San Denpasar by ASTON adalah hotel yang berkonsep modern, nyaman, dan menyenangkan standar internasional hotel bintang 3. Lokasi yang strategis di sekitar kawasan komersial Denpasar, mudah diakses dari Kuta dan Seminyak, membuat Quest San Denpasar by ASTON populer dengan turis asing maupun domestik untuk menjelajahi Bali"
RedDoorz near Jimbaran Beach 2,Bali,202.635,7.6,https://origin.pegipegi.com/jalan/images/pictS/Y0/Y929220/Y929220045.jpg,"RedDoorz near Jimbaran Beach 2  dilengkapi oleh beragam fasilitas penunjang kenyamanan, seperti; kamar non-smoking, WiFi, LED-TV, resepsionis 24 jam, air mineral kemasan, dan perlengkapan mandi."
Rofa Kuta Hotel,Bali,151.800,8.3,https://origin.pegipegi.com/jalan/images/pictS/Y6/Y963226/X963226001.jpg,"Rofa Kuta Hotel adalah sebuah penginapan di desain kontemporer yang menyegarkan  membuat waktu Anda dengan pengalaman baru di Bali. Berlokasi strategis, Hardys Rofa Hotel & Spa Legian menawarkan akses mudah ke kawasan wisata yang dinamis Seminyak, Kuta dan Legian. Lingkungan yang aman, bersih, dan ramah menambah daya tarik penginapan ini sering dikunjungi oleh wisatawan"
Royal Singosari Kuta,Bali,251.471,9.1,https://origin.pegipegi.com/jalan/images/pictS/Y6/Y970056/X970056046.jpg,"Royal Singosari Kuta adalah sebuah hotel yang minimalis, strategis terletak di pusat Kuta, terletak hanya 200 meter dari pantai Kuta. Persembunyian yang indah bagi mereka yang ingin menjelajahi Bali, Pusat perbelanjaan terbaik di Kuta dan restoran terbaik yang bisa di tempuh dengan berjalan kaki."
Sense Hotel Seminyak,Bali,832.480,6.4,https://origin.pegipegi.com/jalan/images/pictS/Y2/Y937142/Y937142047.jpg,"Sense Hotel Seminyak terletak stategis di pusat Seminyak dengan menawarkan pelayanan dan sejumlah fasilitas kepada para tamu hotel, Sense Hotel Seminyak berkomitmen untuk memastikan penginapan Anda senyaman mungkin. Ada beberapa fasilitas hotel ini seperti Wi-Fi gratis di semua kamar, resepsionis 24 jam, layanan kamar terbatas, Wi-fi di tempat umum, parkir valet."
Singaraja Hotel,Bali,231.660,8.2,https://origin.pegipegi.com/jalan/images/pictS/Y5/Y967665/Y967665023.jpg,"Singaraja Hotel adalah hotel yang berlokasi di pusat kota Singaraja dan dekat dengan Pantai Lovina dan Air Sanih. Hotel ini merupakan pilihan terbaik bagi Anda yang berkunjung di Kota Singaraja. Singaraja Hotel dikenal sebagai pilihan hotel di kota Singaraja, karena merupakan Hotel berskala Nasional dan harga yang sangat terjangkau. Kolam Renang sedang ada perbaikan hingga 29 Februari 2020"
Tang Tu Beach Inn Villa,Bali,182.875,9.2,https://origin.pegipegi.com/jalan/images/pictS/Y8/Y947168/Y947168021.jpg,"Tang Tu Beach Inn Villa adalah sebuah pilihan yang sempurna untuk menginap dengan suasana sejuk yang membuat anda merasa nyaman untuk tinggal karena letaknya strategis di Bali, dekat dengan pusat belanja, hiburan dan menawarkan pengalaman yang tak terlupakan dengan desain interior yang nyaman dan modern. Penginapan ini cocok bagi Anda yang ingin berlibur bersama keluarga dan teman."
The Akmani Legian,Bali,396.660,8.8,https://origin.pegipegi.com/jalan/images/pictS/Y2/Y954132/Y954132081.jpg,"The Akmani Legian adalah hotel butik yang tersembunyi di Legian, Kuta, Bali. Terletak dengan strategis di tengah pusat perbelanjaan dan kawasan santap malam terpopuler di Bali, The Akmani menampilkan konsep hotel yang unik untuk ketenangan pikiran melalui penampakan desain minimalis modern yang menggunakan material kayu ulin berusia 80 tahun."
The Cakra Hotel,Bali,314.600,9.4,https://origin.pegipegi.com/jalan/images/pictS/Y9/Y996549/Y996549050.jpg,"Rumah kedua Anda di Bali, berbagi arsitektur unik dan khas yang menonjolkan Kehidupan Bali modern dan otentik."
The Capella Guest House,Bali,166.250,8.3,https://origin.pegipegi.com/jalan/images/pictS/Y2/Y928652/Y928652040.jpg,"The Capella Guest House sebuah hunian yang berlokasi di Jimbaran. Suasana ruangan yang bersih dan nyaman, cocok bagi Anda yang akan berlibur atau mengadakan kunjungan bisnis. Lokasi yang strategis sehingga mudah untuk diakses, dan harga yang terjangkau bisa menjadi pilihan akomodasi perjalanan Anda."
The Kubu Hotel,Bali,96.250,7.0,https://origin.pegipegi.com/jalan/images/pictS/Y2/Y952592/Y952592011.jpg,"Terletak di tengah Kuta, The Kubu Hotel menyediakan pelayanan yang ramah dan fasilitas modern. Kami menjamin masa menginap yang menyenangkan bagi para tamu dengan layanan kami yang personal dan berbagai macam fasilitas modern yang tersedia di hotel kami."
The One Legian,Bali,313.950,9.0,https://origin.pegipegi.com/jalan/images/pictS/Y1/Y996551/Y996551084.jpg,"The One Legian sebuah hunian yang berlokasi di Bali. Suasana ruangan yang bersih dan nyaman, cocok bagi Anda yang akan berlibur atau mengadakan kunjungan bisnis. Lokasi yang strategis sehingga mudah untuk diakses, dan harga yang terjangkau bisa menjadi pilihan akomodasi perjalanan Anda."
The Trans Resort Bali,Bali,1.076.400,9.6,https://origin.pegipegi.com/jalan/images/pictS/Y7/Y984887/Y984887030.jpg,"Terletak di tengah-tengah kawasan Seminyak. Berjarak 10 km nyaman dari Bandara Internasional Bali dan terletak strategis serta mudah dijangkau dari restaurant, butik, pusat perbelanjaan dan hanya 10 menit berkendara dengan layanan antar-jemput gratis ke pantai Seminyak. Trans Resort Bali berkomitmen untuk memberikan tamu keramahtamahan dan layanan khas Indonesia sebagai resort kelas dunia."
The Tusita Kuta Hotel,Bali,162.475,7.8,https://origin.pegipegi.com/jalan/images/pictS/Y0/Y957960/Y957960172.jpg,"Sebuah Hotel baru yang terletak di Pusat Kuta, berjalan kaki ke Pantai Kuta, dikelilingi oleh pusat perbelanjaan dan rekreasi seperti Discovery shopping mall, Kuta Square shopping arcade, Waterboom water park, restoran lokal dan internasional, pasar, dan banyak lagi. Jadi Apakah Anda berada di perjalanan bisnis atau liburan, Tusita Hotel adalah pilihan yang sangat baik untuk bersenang-senang."
Tijili Seminyak,Bali,352.000,9.0,https://origin.pegipegi.com/jalan/images/pictS/Y2/Y953792/Y953792025.jpg,"Tijili adalah sebuah hotel butik eklektik di Seminyak Bali, terletak hanya beberapa langkah dari pantai. Penuh warna, dan hidup. Tijili Hotel Seminyak Bali memberikan jenis pengalaman hospitality baru. Terletak dekat dengan pusat belanja, kehidupan malam, dan pantai, Tijili Hotel adalah pilihan yang sempurna untuk setiap wisatawan di Bali. "
Urban Styles Biz Premier,Bali,273.884,8.0,https://origin.pegipegi.com/jalan/images/pictS/Y1/Y950461/Y950461109.jpg,"Mulai awal yang tepat untuk perjalanan bisnis Anda di Bali, dengan Urban Styles Biz Premier. Chic, kontemporer dan cerdas, Urban Styles Biz Premier memungkinkan Anda untuk bekerja dalam kondisi terbaik walaupun jauh dari kantor Anda. Lokasi kami di pusat Jl. Sunset Road membuatnya mudah bagi Anda untuk menghadiri pertemuan di Bali."
Urban Styles Hitz Kuta,Bali,229.354,9.4,https://origin.pegipegi.com/jalan/images/pictS/Y5/Y916985/Y916985001.jpg,"Urban Styles Hitz Kuta sebuah hunian yang berlokasi di Legian. Suasana ruangan yang bersih dan nyaman, cocok bagi Anda yang akan berlibur atau mengadakan kunjungan bisnis. Lokasi yang strategis sehingga mudah untuk diakses, dan harga yang terjangkau bisa menjadi pilihan akomodasi perjalanan Anda."
Villa Mandi Ubud,Bali,271.216,8.4,https://origin.pegipegi.com/jalan/images/pictS/Y8/Y950268/X950268057.jpg,"Villa Mandi adalah tempat yang ideal untuk liburan Anda, dengan pelayanan yang ramah dan personal, ditambah dengan nuansa kedamaian dan ketenangan masyarakat desa Katik Lantang. Dengan fokus utama pada relaksasi, layanan pribadi dan privasi, kami mampu untuk memenuhi semua kebutuhan Anda. Bergabunglah dengan kami untuk liburan yang penuh kenyamanan."
Zuri Express Jimbaran,Bali,232.749,9.3,https://origin.pegipegi.com/jalan/images/pictS/Y4/Y929024/Y929024008.jpg,"Zuri Express Jimbaran berlokasi beberapa menit dari pantai Jimbaran. Dengan akses yang mudah ke tempat-tempat wisata di Bali, hotel bintang 3 ini menyediakan kamar yang nyaman dengan fasilitas lengkap. Setiap kamar di Zuri Express Jimbaran dilengkapi fasilitas modern seperti AC, televisi, koneksi internet, dan kamar mandi pribadi dengan shower."
Amira Hotel,Bandung,180.000,8.3,https://origin.pegipegi.com/jalan/images/pictS/Y0/Y957330/Y957330057.jpg,"Hotel Amira terletak di salah satu daerah yang paling menggairahkan di Bandung, hanya 10 menit dari Bandar Udara Husein Sastranegara. Hotel ini menawarkan kamar-kamar dengan Wi-Fi gratis dan LCD TV dengan saluran kabel. Semua kamar modern juga dilengkapi dengan AC dan kamar mandi pribadi. Hotel ini menyediakan layanan sewa mobil dan laundry."
Apartement Gateway Pasteur by TN Hospitality,Bandung,280.800,9.8,https://origin.pegipegi.com/jalan/images/pictS/Y0/Y991130/Y991130032.jpg,"Apartement Gateway Pasteur sebuah hunian yang berlokasi di Bandung. Suasana ruangan yang bersih dan nyaman, cocok bagi Anda yang akan berlibur atau mengadakan kunjungan bisnis. Lokasi yang strategis sehingga mudah untuk diakses, dan harga yang terjangkau bisa menjadi pilihan akomodasi perjalanan Anda."
Ariandri Residence,Bandung,173.420,8.4,https://origin.pegipegi.com/jalan/images/pictS/Y9/Y996179/Y996179046.jpg,Ariandri Residence adalah tempat bermalam yang tepat bagi anda dan keluarga saat berlibur di Bandung. Terletak startegis di pusat kota Bandung dengan akses mudah ke semua tempat-tempat pavorit. Hotel vintage dengan desain kamar yang modern dan mengutamakan kenyamanan saat beristirahat dan dengan harga yang terjangkau.Fasilitas penunjang seperti: Restoran dan WiFi di seluruh area. 
Aston Pasteur,Bandung,568.560,8.9,https://origin.pegipegi.com/jalan/images/pictS/Y4/Y924784/Y924784073.jpg,Aston Pasteur Hotel (formerly Harper Pasteur) memberikan sentuhan modern untuk pilihan akomodasi kontemporer dan nuansa pedesaan yang di desain untuk membuat tamu merasakan seperti dirumah. Hotel mengkombinasikan kenyamanan dan fungsi dengan interior dengan penuh warna yang membuat suasana setiap kamar jadi menyenangkan. 
Atlantic City Hotel,Bandung,279.440,8.5,https://origin.pegipegi.com/jalan/images/pictS/Y2/Y908642/Y908642123.jpg,"Hotel di Bandung dengan konsep digital, dengan koneksi Wi-Fi kecepatan tinggi. Memiliki kamar yang nyaman, meeting room dan ballroom. Kami juga menyediakan Sky Lounge. Atlantic City Hotel adalah hotel bintang 3 yang terletak strategis di Bandung. Menawarkan berbagai fasilitas dan layanan terbaik yang membuat masa menginap Anda tidak terlupakan."
